row_label,n_cells,actor_choice_family_complete_rate,actor_choice_family_complete_rate_ci_lo,actor_choice_family_complete_rate_ci_hi,actor_choice_family_consistency_rate,actor_choice_family_consistency_rate_ci_lo,actor_choice_family_consistency_rate_ci_hi,actor_choice_family_modal_share,actor_choice_family_modal_share_ci_lo,actor_choice_family_modal_share_ci_hi,self_report_driver_family_complete_rate,self_report_driver_family_complete_rate_ci_lo,self_report_driver_family_complete_rate_ci_hi,self_report_driver_family_consistency_rate,self_report_driver_family_consistency_rate_ci_lo,self_report_driver_family_consistency_rate_ci_hi,self_report_driver_family_modal_share,self_report_driver_family_modal_share_ci_lo,self_report_driver_family_modal_share_ci_hi,score_judge_choice_family_complete_rate,score_judge_choice_family_complete_rate_ci_lo,score_judge_choice_family_complete_rate_ci_hi,score_judge_choice_family_consistency_rate,score_judge_choice_family_consistency_rate_ci_lo,score_judge_choice_family_consistency_rate_ci_hi,score_judge_choice_family_modal_share,score_judge_choice_family_modal_share_ci_lo,score_judge_choice_family_modal_share_ci_hi,score_judge_driver_family_complete_rate,score_judge_driver_family_complete_rate_ci_lo,score_judge_driver_family_complete_rate_ci_hi,score_judge_driver_family_consistency_rate,score_judge_driver_family_consistency_rate_ci_lo,score_judge_driver_family_consistency_rate_ci_hi,score_judge_driver_family_modal_share,score_judge_driver_family_modal_share_ci_lo,score_judge_driver_family_modal_share_ci_hi
Drugs,8,1.0,1.0,1.0,0.34625,0.31875,0.37125,0.8113541666666666,0.8014036458333333,0.8221875000000001,1.0,1.0,1.0,0.205,0.17809375,0.22940624999999998,0.7093750000000001,0.6980208333333333,0.7214635416666666,1.0,1.0,1.0,0.5599999999999999,0.52625,0.59375,0.8902083333333334,0.8804166666666666,0.9000546875,1.0,1.0,1.0,0.33875,0.31124999999999997,0.36875,0.8042708333333333,0.7921276041666666,0.8170833333333334
Policy,8,1.0,1.0,1.0,0.41875,0.38999999999999996,0.4475,0.8329166666666666,0.8209869791666667,0.8438541666666667,1.0,1.0,1.0,0.33625,0.30875,0.36815624999999996,0.7828125,0.7702526041666666,0.7961510416666666,1.0,1.0,1.0,0.5375,0.5068437499999999,0.5744062499999999,0.88125,0.8718203124999999,0.8917369791666666,1.0,1.0,1.0,0.32,0.29,0.34815624999999994,0.799375,0.7871770833333334,0.8103671875
Software,8,1.0,1.0,1.0,0.30000000000000004,0.27309375,0.32625,0.7852083333333333,0.7750494791666667,0.7964088541666666,1.0,1.0,1.0,0.175,0.15,0.19940624999999998,0.7059375,0.6928567708333333,0.7193802083333333,1.0,1.0,1.0,0.585,0.55375,0.6169062499999999,0.8966666666666667,0.886765625,0.9069296875,1.0,1.0,1.0,0.20625,0.17809375,0.23375,0.7478125,0.7355703125,0.7618255208333333
Pooled substantive,24,1.0,1.0,1.0,0.355,0.33811458333333333,0.37166666666666665,0.8098263888888888,0.8030902777777778,0.8161458333333332,1.0,1.0,1.0,0.23875000000000002,0.22291666666666665,0.2543854166666667,0.7327083333333334,0.7253472222222221,0.7404019097222223,1.0,1.0,1.0,0.5608333333333334,0.5412291666666667,0.5804166666666667,0.8893749999999999,0.8834539930555555,0.8956979166666666,1.0,1.0,1.0,0.28833333333333333,0.27186458333333335,0.305,0.7838194444444445,0.7770303819444444,0.7923793402777778
