theme,theme_display,family,effort,model_tag,n_responses,n_families,expected_draws_per_family,actor_choice_family_complete_rate,actor_choice_family_complete_rate_ci_lo,actor_choice_family_complete_rate_ci_hi,actor_choice_family_consistency_rate,actor_choice_family_consistency_rate_ci_lo,actor_choice_family_consistency_rate_ci_hi,actor_choice_family_modal_share,actor_choice_family_modal_share_ci_lo,actor_choice_family_modal_share_ci_hi,self_report_driver_family_complete_rate,self_report_driver_family_complete_rate_ci_lo,self_report_driver_family_complete_rate_ci_hi,self_report_driver_family_consistency_rate,self_report_driver_family_consistency_rate_ci_lo,self_report_driver_family_consistency_rate_ci_hi,self_report_driver_family_modal_share,self_report_driver_family_modal_share_ci_lo,self_report_driver_family_modal_share_ci_hi,score_judge_choice_family_complete_rate,score_judge_choice_family_complete_rate_ci_lo,score_judge_choice_family_complete_rate_ci_hi,score_judge_choice_family_consistency_rate,score_judge_choice_family_consistency_rate_ci_lo,score_judge_choice_family_consistency_rate_ci_hi,score_judge_choice_family_modal_share,score_judge_choice_family_modal_share_ci_lo,score_judge_choice_family_modal_share_ci_hi,score_judge_driver_family_complete_rate,score_judge_driver_family_complete_rate_ci_lo,score_judge_driver_family_complete_rate_ci_hi,score_judge_driver_family_consistency_rate,score_judge_driver_family_consistency_rate_ci_lo,score_judge_driver_family_consistency_rate_ci_hi,score_judge_driver_family_modal_share,score_judge_driver_family_modal_share_ci_lo,score_judge_driver_family_modal_share_ci_hi,tau_responses_relpath
policy,Policy,GPT-5-nano,low,nano_low,1200,100,12,1.0,1.0,1.0,0.47,0.38,0.57,0.8716666666666667,0.8400000000000001,0.898375,1.0,1.0,1.0,0.35,0.25,0.44,0.8266666666666667,0.7886875,0.8587708333333334,1.0,1.0,1.0,0.57,0.48,0.67,0.8908333333333333,0.8620625,0.9212708333333333,1.0,1.0,1.0,0.35,0.26,0.43,0.8375,0.8083333333333333,0.8641666666666665,outputs/final_same_order/runs/policy/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,GPT-5-nano,minimal,nano_min,1200,100,12,1.0,1.0,1.0,0.13,0.06475000000000002,0.2,0.7208333333333333,0.6870624999999999,0.7500000000000001,1.0,1.0,1.0,0.16,0.09,0.24,0.7291666666666667,0.6941666666666666,0.7646041666666666,1.0,1.0,1.0,0.12,0.06,0.18,0.7616666666666667,0.735,0.7900000000000003,1.0,1.0,1.0,0.05,0.01,0.09,0.6833333333333332,0.6462291666666667,0.715,outputs/final_same_order/runs/policy/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,low,ministral_low,1200,100,12,1.0,1.0,1.0,0.05,0.01,0.1,0.6999999999999998,0.6737291666666666,0.7275,1.0,1.0,1.0,0.0,0.0,0.0,0.6025,0.5691666666666666,0.635,1.0,1.0,1.0,0.51,0.41475,0.61,0.8816666666666667,0.8507916666666667,0.9096041666666667,1.0,1.0,1.0,0.24,0.16,0.33,0.7825,0.7449999999999999,0.8175416666666666,outputs/final_same_order/runs/policy/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Ministral-3-14B,minimal,ministral_min,1200,100,12,1.0,1.0,1.0,0.12,0.06,0.18,0.7583333333333333,0.7274999999999999,0.7858333333333335,1.0,1.0,1.0,0.09,0.04,0.14,0.6658333333333334,0.6287291666666667,0.7054375,1.0,1.0,1.0,0.5,0.4,0.59,0.8875,0.8578958333333334,0.915,1.0,1.0,1.0,0.28,0.19,0.38,0.7933333333333333,0.7608333333333331,0.8291666666666667,outputs/final_same_order/runs/policy/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,low,qwen_low,1200,100,12,1.0,1.0,1.0,0.57,0.48,0.6752499999999998,0.8891666666666665,0.8587291666666665,0.9200000000000002,1.0,1.0,1.0,0.46,0.36,0.57,0.8558333333333333,0.8228958333333334,0.8887708333333334,1.0,1.0,1.0,0.66,0.57,0.75,0.9358333333333332,0.9145625000000001,0.955,1.0,1.0,1.0,0.36,0.26475000000000004,0.45,0.8266666666666667,0.7899583333333332,0.8616666666666667,outputs/final_same_order/runs/policy/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
policy,Policy,Qwen3-14B,minimal,qwen_min,1200,100,12,1.0,1.0,1.0,0.64,0.5547500000000001,0.7352499999999997,0.885,0.8528958333333333,0.9196041666666667,1.0,1.0,1.0,0.51,0.41,0.6052499999999997,0.8291666666666667,0.7920625,0.8675000000000002,1.0,1.0,1.0,0.53,0.43,0.64,0.8433333333333333,0.8040833333333333,0.8862708333333333,1.0,1.0,1.0,0.23,0.15,0.31,0.7158333333333333,0.6770625,0.7562708333333333,outputs/final_same_order/runs/policy/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,low,mini_low,1200,100,12,1.0,1.0,1.0,0.56,0.46,0.65,0.8808333333333331,0.8475,0.9096041666666665,1.0,1.0,1.0,0.39,0.29,0.48,0.8225,0.7857916666666667,0.8562708333333334,1.0,1.0,1.0,0.81,0.73,0.89,0.9491666666666667,0.9241666666666666,0.9708333333333334,1.0,1.0,1.0,0.4,0.31,0.49524999999999975,0.8191666666666667,0.7866666666666667,0.8558333333333333,outputs/final_same_order/runs/software/test/mini_low_tau__openai_gpt5mini_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-mini,minimal,mini_min,1200,100,12,1.0,1.0,1.0,0.56,0.45,0.64,0.8691666666666668,0.8366250000000001,0.8983333333333333,1.0,1.0,1.0,0.29,0.2,0.37524999999999975,0.7616666666666667,0.7233333333333333,0.7942083333333334,1.0,1.0,1.0,0.64,0.55,0.73,0.9283333333333331,0.9016666666666666,0.9521041666666666,1.0,1.0,1.0,0.15,0.08475000000000002,0.22,0.7258333333333334,0.6875,0.7571041666666667,outputs/final_same_order/runs/software/test/mini_min_tau__openai_gpt5mini_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,low,nano_low,1200,100,12,1.0,1.0,1.0,0.24,0.15,0.32,0.8033333333333331,0.7725000000000001,0.8350000000000001,1.0,1.0,1.0,0.14,0.08,0.21,0.7249999999999999,0.6883333333333332,0.76,1.0,1.0,1.0,0.66,0.57,0.75,0.9224999999999999,0.8953958333333333,0.9475,1.0,1.0,1.0,0.32,0.23,0.41,0.8066666666666668,0.77,0.8433333333333334,outputs/final_same_order/runs/software/test/nano_low_tau__openai_gpt5nano_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,GPT-5-nano,minimal,nano_min,1200,100,12,1.0,1.0,1.0,0.02,0.0,0.05,0.6300000000000001,0.6040833333333333,0.6554375,1.0,1.0,1.0,0.08,0.03,0.14,0.6591666666666666,0.6228958333333334,0.6983333333333333,1.0,1.0,1.0,0.29,0.2,0.37,0.8083333333333335,0.7758333333333333,0.8396041666666667,1.0,1.0,1.0,0.04,0.01,0.08,0.7091666666666667,0.6753958333333334,0.7433333333333333,outputs/final_same_order/runs/software/test/nano_min_tau__openai_gpt5nano_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,low,ministral_low,1200,100,12,1.0,1.0,1.0,0.03,0.0,0.06524999999999978,0.6858333333333333,0.6620625,0.7112708333333333,1.0,1.0,1.0,0.0,0.0,0.0,0.6066666666666667,0.5816666666666667,0.6337708333333333,1.0,1.0,1.0,0.45,0.35,0.54,0.8858333333333333,0.8570625,0.9121041666666667,1.0,1.0,1.0,0.16,0.1,0.23,0.7366666666666667,0.6987291666666666,0.7708333333333336,outputs/final_same_order/runs/software/test/ministral_low_tau__local_ministral3_14b_reasoning_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Ministral-3-14B,minimal,ministral_min,1200,100,12,1.0,1.0,1.0,0.07,0.02,0.12,0.7291666666666667,0.7025,0.7575000000000001,1.0,1.0,1.0,0.03,0.004750000000000015,0.07,0.62,0.5895625,0.6571041666666667,1.0,1.0,1.0,0.5,0.4,0.6,0.8758333333333336,0.8441666666666667,0.9050000000000001,1.0,1.0,1.0,0.12,0.06,0.19,0.7283333333333333,0.6924999999999999,0.7633749999999999,outputs/final_same_order/runs/software/test/ministral_min_tau__local_ministral3_14b_instruct_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,low,qwen_low,1200,100,12,1.0,1.0,1.0,0.38,0.3,0.47,0.8316666666666667,0.8016666666666667,0.8637708333333333,1.0,1.0,1.0,0.22,0.14475000000000002,0.3,0.745,0.7062291666666668,0.7837708333333333,1.0,1.0,1.0,0.66,0.57,0.7452499999999997,0.9158333333333333,0.8883333333333333,0.9429375,1.0,1.0,1.0,0.24,0.16,0.32,0.7683333333333331,0.7320625,0.8025,outputs/final_same_order/runs/software/test/qwen_low_tau__local_qwen3_14b_vllm_low_low_var-short_reason__judge_scores_joint/responses.jsonl
software,Software,Qwen3-14B,minimal,qwen_min,1200,100,12,1.0,1.0,1.0,0.54,0.44,0.6352499999999998,0.8516666666666667,0.8191666666666666,0.8866666666666667,1.0,1.0,1.0,0.25,0.17,0.34,0.7075,0.6699999999999999,0.7508333333333332,1.0,1.0,1.0,0.67,0.58,0.76,0.8875000000000002,0.8528958333333333,0.9183333333333334,1.0,1.0,1.0,0.22,0.14,0.31,0.6883333333333332,0.6499583333333333,0.7317083333333334,outputs/final_same_order/runs/software/test/qwen_min_tau__local_qwen3_14b_vllm_minimal_minimal_var-short_reason__judge_scores_joint/responses.jsonl
