theme,placebo_variant,family,effort,actor_states_placebo_as_key_factor,linear_model_factor_is_placebo,judge_factor_is_placebo,n_premise_ok,n_choice_ok,n_tau_ok,actor_states_placebo_as_key_factor_se,linear_model_factor_is_placebo_se,judge_factor_is_placebo_se,actor_states_placebo_as_key_factor_ci_lo,linear_model_factor_is_placebo_ci_lo,judge_factor_is_placebo_ci_lo,actor_states_placebo_as_key_factor_ci_hi,linear_model_factor_is_placebo_ci_hi,judge_factor_is_placebo_ci_hi,model_tag
placebo_label_border,Label Border Thickness,GPT-5-mini,low,0.0,0.0,0.0,1200,1200,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mini_low
placebo_label_border,Label Border Thickness,GPT-5-mini,minimal,0.0,0.0,0.0,1200,1200,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mini_min
placebo_label_border,Label Border Thickness,GPT-5-nano,low,0.0,0.0,0.0008333333333333334,1200,1200,1200,0.0,0.0,0.0008205316132625022,0.0,0.0,0.0,0.0,0.0,0.002577319587628866,nano_low
placebo_label_border,Label Border Thickness,GPT-5-nano,minimal,0.0008333333333333334,0.06,0.07666666666666666,1200,1200,1200,0.0008250044112984394,0.016844235421676238,0.01875323097632513,0.0,0.028879419191919192,0.042455501618122976,0.002618558114035087,0.09526710402999058,0.11750417710944026,nano_min
placebo_label_border,Label Border Thickness,Ministral-3-14B,low,0.008333333333333333,0.04416666666666667,0.0,1200,1200,1200,0.0032740151910505824,0.01735368892614387,0.0,0.002577319587628866,0.0016339869281045752,0.0,0.015243556701030917,0.06676285917964464,0.0,ministral_low
placebo_label_border,Label Border Thickness,Ministral-3-14B,minimal,0.008333333333333333,0.0325,0.0016666666666666668,1200,1200,1200,0.0031823705040091004,0.012502172904664668,0.0016836519524621092,0.002950244200244201,0.001658003300330033,0.0,0.015340796512779867,0.05008495145631068,0.00529255319148936,ministral_min
placebo_label_border,Label Border Thickness,Qwen3.5-14B,low,0.0,0.0,0.0,1200,1200,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qwen_low
placebo_label_border,Label Border Thickness,Qwen3.5-14B,minimal,0.0,0.0,0.0,1200,1200,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,qwen_min
placebo_packaging,Packaging Symmetry,GPT-5-mini,low,0.0,0.0,0.0,1200,1200,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mini_low
placebo_packaging,Packaging Symmetry,GPT-5-mini,minimal,0.0008333333333333334,0.0,0.0,1200,1200,1200,0.000787397584281156,0.0,0.0,0.0,0.0,0.0,0.0025387806637806633,0.0,0.0,mini_min
placebo_packaging,Packaging Symmetry,GPT-5-nano,low,0.0008333333333333334,0.0,0.005,1200,1200,1200,0.0007922777446649789,0.0,0.002210788059134678,0.0,0.0,0.0015646123552577442,0.002551020408163265,0.0,0.009633097165991903,nano_low
placebo_packaging,Packaging Symmetry,GPT-5-nano,minimal,0.010833333333333334,0.12166666666666667,0.07166666666666667,1200,1200,1200,0.004381396753681001,0.025081598417577157,0.016347430113695483,0.002918712493180579,0.07967233009708738,0.041870704467353956,0.02043292946109261,0.17606891025641025,0.10703616352201258,nano_min
placebo_packaging,Packaging Symmetry,Ministral-3-14B,low,0.014166666666666666,0.043333333333333335,0.0,1200,1200,1200,0.004225056846850518,0.011699159269778416,0.0,0.007109691295546559,0.023056930693069307,0.0,0.022896518375241773,0.066753300330033,0.0,ministral_low
placebo_packaging,Packaging Symmetry,Ministral-3-14B,minimal,0.015,0.041666666666666664,0.0,1200,1200,1200,0.0038209724595729003,0.011280693327354008,0.0,0.00859106529209622,0.02042483660130719,0.0,0.022737997067986064,0.06341749316549047,0.0,ministral_min
placebo_packaging,Packaging Symmetry,Qwen3.5-14B,low,0.0,0.0,0.0,1200,1200,1200,0.0,0.0012869283559562227,0.0,0.0,0.0,0.0,0.0,0.003625585883650398,0.0,qwen_low
placebo_packaging,Packaging Symmetry,Qwen3.5-14B,minimal,0.0,0.0,0.0,1200,1200,1200,0.0,0.0007061587967109763,0.0,0.0,0.0,0.0,0.0,0.002463720636769559,0.0,qwen_min
