scope,n_actor_choice_draws,n_actor_attr_draws,n_judge_choice_draws,n_judge_attr_draws,n_row_predictions_per_model,m0_actor_choice_agreement,m0_judge_choice_agreement,m0_actor_attribute_agreement,m0_judge_attribute_agreement,m0_direct_choice_nll,m1_actor_choice_agreement,m1_judge_choice_agreement,m1_actor_attribute_agreement,m1_judge_attribute_agreement,m1_direct_choice_nll,m0_m1_driver_agreement,m2_actor_choice_agreement,m2_judge_choice_agreement,m2_actor_attribute_agreement,m2_judge_attribute_agreement,m2_direct_choice_nll,m0_m2_driver_agreement,m1_m2_driver_agreement
overall,48000,48000,48000,48000,16000,0.8160208333333333,0.7344166666666666,0.6371458333333333,0.6497083333333332,1.1516997975981493,0.8154791666666666,0.7344166666666666,0.637875,0.6554375,1.142382890023209,0.958375,0.8155625000000001,0.7344166666666666,0.6332708333333332,0.6473125,1.148634741857223,0.925,0.945375
substantive_only,28800,28800,28800,28800,9600,0.8038541666666666,0.7173958333333333,0.6100347222222222,0.6134722222222223,1.2068248991439656,0.8044791666666667,0.7173958333333333,0.6094444444444445,0.6174305555555555,1.1951198787433646,0.9583333333333334,0.8055902777777778,0.7173958333333333,0.6049305555555556,0.6119444444444444,1.2034843273708533,0.929375,0.9447916666666667
theme:drugs,9600,9600,9600,9600,3200,0.7790625,0.7186458333333333,0.5742708333333333,0.6326041666666666,1.3020250067119035,0.7819791666666667,0.7186458333333333,0.5825,0.6464583333333334,1.2846131241921532,0.934375,0.7834375,0.7186458333333333,0.5641666666666667,0.6322916666666667,1.3030465045090347,0.889375,0.90625
theme:policy,9600,9600,9600,9600,3200,0.8320833333333333,0.7341666666666666,0.6965625,0.6667708333333334,1.067325724005183,0.8306250000000001,0.7341666666666666,0.6925,0.6672916666666666,1.0677081778634976,0.9768749999999999,0.83,0.7341666666666666,0.6909375,0.6652083333333333,1.0661782625140783,0.9612499999999999,0.971875
theme:software,9600,9600,9600,9600,3200,0.8004166666666667,0.6993750000000001,0.5592708333333334,0.5410416666666666,1.2511239667148104,0.8008333333333333,0.6993750000000001,0.5533333333333332,0.5385416666666667,1.2330383341744433,0.9637499999999999,0.8033333333333332,0.6993750000000001,0.5596875,0.5383333333333333,1.2412282150894467,0.9375,0.95625
theme:placebo_packaging,9600,9600,9600,9600,3200,0.8364583333333333,0.7551041666666667,0.6735416666666667,0.7060416666666667,1.0760877401460143,0.8331249999999999,0.7551041666666667,0.668125,0.7066666666666667,1.0703646082988958,0.9793749999999999,0.8283333333333334,0.7551041666666667,0.6630208333333334,0.6932291666666667,1.0742724432240551,0.9299999999999999,0.9468749999999999
theme:placebo_label_border,9600,9600,9600,9600,3200,0.8320833333333333,0.7647916666666666,0.6820833333333334,0.7020833333333334,1.0619365504128355,0.8308333333333333,0.7647916666666666,0.6929166666666666,0.7182291666666667,1.0561902055870553,0.9375,0.8327083333333334,0.7647916666666666,0.6885416666666666,0.7075,1.058448283949499,0.906875,0.9456249999999999
