theme,m0_heldout_nll,m1_heldout_nll,m2_heldout_nll,m0_heldout_choice_accuracy,m0_judge_choice_accuracy,m0_driver_matches_stated_factor_rate,m0_judge_driver_matches_rate,m0_actor_conditioned_driver_matches_stated_factor_rate,m0_placebo_driver_rate,m0_actor_conditioned_placebo_driver_rate,m1_heldout_choice_accuracy,m1_judge_choice_accuracy,m1_driver_matches_stated_factor_rate,m1_judge_driver_matches_rate,m1_actor_conditioned_driver_matches_stated_factor_rate,m1_placebo_driver_rate,m1_actor_conditioned_placebo_driver_rate,m2_heldout_choice_accuracy,m2_judge_choice_accuracy,m2_driver_matches_stated_factor_rate,m2_judge_driver_matches_rate,m2_actor_conditioned_driver_matches_stated_factor_rate,m2_placebo_driver_rate,m2_actor_conditioned_placebo_driver_rate,m0_m1_driver_agreement,m0_m1_actor_conditioned_driver_agreement,m0_m2_driver_agreement,m0_m2_actor_conditioned_driver_agreement,m1_m2_driver_agreement,m1_m2_actor_conditioned_driver_agreement,cross_model_driver_agreement,cross_model_actor_conditioned_driver_agreement,n_test_rows,n_draws,n_choice_ok_draws,n_premise_ok_draws,n_tau_ok_draws,m0_selected_ridge_lambda,m1_selected_ridge_lambda,m2_selected_ridge_lambda,m2_selected_shrinkage_lambda,m2_num_unique_observed_cells
drugs,1.3020250067119035,1.2846131241921532,1.3030465045090347,0.7790625,0.789375,0.5742708333333333,0.6326041666666666,0.7105208333333334,0.1425,0.15854166666666666,0.7819791666666667,0.7820833333333334,0.5825,0.6464583333333334,0.7190625,0.15375,0.16479166666666667,0.7834375,0.7804166666666666,0.5641666666666667,0.6322916666666667,0.7013541666666667,0.143125,0.16020833333333334,0.934375,0.9617708333333334,0.889375,0.9339583333333333,0.90625,0.9403125,0.934375,0.9617708333333334,400.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,57.5,266.0
placebo_label_border,1.0619365504128353,1.0561902055870553,1.058448283949499,0.8320833333333333,0.8077083333333334,0.6820833333333334,0.7020833333333334,0.7902083333333333,0.011250000000000001,0.018854166666666665,0.8308333333333333,0.815625,0.6929166666666666,0.7182291666666667,0.7988541666666666,0.014375,0.019270833333333334,0.8327083333333334,0.815625,0.6885416666666666,0.7075,0.7921875,0.01375,0.017812500000000002,0.9375,0.9651041666666667,0.906875,0.9469791666666667,0.9456249999999999,0.9627083333333333,0.9375,0.9651041666666667,400.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,52.5,266.0
placebo_packaging,1.0760877401460143,1.0703646082988958,1.0742724432240551,0.8364583333333333,0.8067708333333333,0.6735416666666667,0.7060416666666667,0.7854166666666667,0.01625,0.021562500000000002,0.833125,0.8067708333333333,0.668125,0.7066666666666667,0.7838541666666667,0.01625,0.021562500000000002,0.8283333333333334,0.8028125,0.6630208333333334,0.6932291666666667,0.7742708333333334,0.016875,0.021354166666666667,0.979375,0.9980208333333334,0.93,0.9625,0.946875,0.9630208333333333,0.979375,0.9980208333333334,400.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,41.25,266.0
policy,1.067325724005183,1.0677081778634976,1.0661782625140783,0.8320833333333333,0.7675,0.6965625,0.6667708333333333,0.80875,0.039375,0.0565625,0.830625,0.7633333333333333,0.6925,0.6672916666666667,0.8061458333333333,0.04875,0.06645833333333334,0.8300000000000001,0.7622916666666667,0.6909375,0.6652083333333333,0.8049999999999999,0.049999999999999996,0.06583333333333333,0.9768749999999999,0.9888541666666667,0.9612499999999999,0.979375,0.9718749999999999,0.9851041666666667,0.9768749999999999,0.9888541666666667,400.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,58.75,266.0
software,1.2511239667148104,1.2330383341744433,1.2412282150894467,0.8004166666666667,0.74375,0.5592708333333333,0.5410416666666666,0.6934375,0.21562499999999998,0.23947916666666666,0.8008333333333333,0.746875,0.5533333333333333,0.5385416666666667,0.6863541666666666,0.22875,0.2501041666666667,0.8033333333333333,0.7508333333333334,0.5596875,0.5383333333333333,0.6904166666666667,0.228125,0.24645833333333333,0.96375,0.9883333333333333,0.9375,0.9669791666666667,0.95625,0.9723958333333333,0.96375,0.9883333333333333,400.0,1200.0,1200.0,1200.0,1200.0,0.0,0.0,0.0,55.0,266.0
