row_label,n_cells,actor_choice_family_majority_correct_rate,actor_choice_family_majority_correct_rate_ci_lo,actor_choice_family_majority_correct_rate_ci_hi,self_report_driver_family_majority_correct_rate,self_report_driver_family_majority_correct_rate_ci_lo,self_report_driver_family_majority_correct_rate_ci_hi,score_judge_choice_family_majority_correct_rate,score_judge_choice_family_majority_correct_rate_ci_lo,score_judge_choice_family_majority_correct_rate_ci_hi,score_judge_driver_family_majority_correct_rate,score_judge_driver_family_majority_correct_rate_ci_lo,score_judge_driver_family_majority_correct_rate_ci_hi
Drugs,8,0.83625,0.81184375,0.8612500000000001,0.5275,0.49684375000000003,0.56,0.77125,0.74375,0.80125,0.5825,0.55,0.61625
Policy,8,0.895,0.8736875000000001,0.91625,0.68125,0.65309375,0.71,0.75875,0.72875,0.78625,0.635,0.6025,0.665
Software,8,0.87875,0.85625,0.9,0.5075000000000001,0.47625,0.53875,0.68375,0.65125,0.71565625,0.47500000000000003,0.44309375,0.50375
Pooled substantive,24,0.87,0.8583333333333334,0.8820833333333333,0.5720833333333334,0.5543645833333334,0.5920833333333333,0.7379166666666667,0.7203958333333333,0.7552187499999999,0.5641666666666667,0.5449791666666667,0.5825
