theme,family,effort,linear_model_predicts_actor_choice,judge_predicts_actor_choice,linear_model_factor_matches_stated_factor,judge_factor_matches_stated_factor,n_choice_ok,n_judge_choice_ok,n_premise_ok,n_judge_premise_ok,linear_model_predicts_actor_choice_se,judge_predicts_actor_choice_se,linear_model_factor_matches_stated_factor_se,judge_factor_matches_stated_factor_se,linear_model_predicts_actor_choice_ci_lo,judge_predicts_actor_choice_ci_lo,linear_model_factor_matches_stated_factor_ci_lo,judge_factor_matches_stated_factor_ci_lo,linear_model_predicts_actor_choice_ci_hi,judge_predicts_actor_choice_ci_hi,linear_model_factor_matches_stated_factor_ci_hi,judge_factor_matches_stated_factor_ci_hi,model_tag
drugs,GPT-5-mini,low,0.8158333333333333,0.7966666666666666,0.88,0.69,1200,1200,1200,1200,0.030359050823063373,0.032715979932805964,0.03078979143473233,0.03487237726308704,0.7520420792079208,0.7382083333333334,0.8047798463356974,0.6214722222222223,0.8716997510482181,0.8592361111111111,0.925622655190895,0.7647831632653062,mini_low
drugs,GPT-5-mini,minimal,0.8775,0.795,0.7691666666666667,0.6541666666666667,1200,1200,1200,1200,0.02645618364261059,0.03278431937584614,0.03860349176685278,0.040031928438026734,0.8217256289308176,0.7300256965681278,0.6913571428571428,0.5717016983561101,0.9293949106449106,0.8585254053544494,0.8386459536644846,0.7259722222222221,mini_min
drugs,GPT-5-nano,low,0.7966666666666666,0.7425,0.7633333333333333,0.5658333333333333,1200,1200,1200,1200,0.028189797825408255,0.02960314378437699,0.03530830248621692,0.030769236336625923,0.7361068536726432,0.6824469461697723,0.6817902508090614,0.5101174828178694,0.8479504200420042,0.797875,0.8241113393521335,0.6233423477564103,nano_low
drugs,GPT-5-nano,minimal,0.8,0.6558333333333334,0.6025,0.48083333333333333,1200,1200,1200,1200,0.01838179237559384,0.021848664432111916,0.03440912768402734,0.02696115342834306,0.7635629251700681,0.6155088958660387,0.5408396291208791,0.4313392857142857,0.8341522366522366,0.7016007424475167,0.6717604768289328,0.5356896167557932,nano_min
drugs,Ministral-3-14B,low,0.6525,0.605,0.6416666666666667,0.4325,1200,1200,1200,1200,0.018028846549501567,0.02171949906911683,0.02809097704695981,0.02280895118701049,0.6196369636963697,0.5645288461538461,0.5810781786941581,0.38808298319327733,0.6901141304347825,0.6483323226197696,0.6922155448717948,0.47672927730917414,ministral_low
drugs,Ministral-3-14B,minimal,0.7591666666666667,0.6758333333333333,0.6458333333333334,0.45666666666666667,1200,1200,1200,1200,0.01542431503976667,0.02347057502967916,0.023116647397788317,0.02381899332371006,0.7307338056680162,0.6312305514065223,0.6024635416666667,0.411552023623415,0.7892409591194969,0.7194736067503924,0.6933423369347739,0.5028295454545454,ministral_min
drugs,Qwen3-14B,low,0.775,0.74,0.7975,0.6333333333333333,1200,1200,1200,1200,0.027825486430173556,0.03332705664306677,0.0373461268698533,0.03178756992172071,0.7124002691531289,0.6627445489844683,0.7318671116504855,0.5728478622631848,0.8241565348124905,0.7998479609929077,0.8723659323542501,0.698889379229185,qwen_low
drugs,Qwen3-14B,minimal,0.7558333333333334,0.7383333333333333,0.5841666666666666,0.48583333333333334,1200,1200,1200,1200,0.03333243895870533,0.029382768690062462,0.03995980151362637,0.03450416092475269,0.687686713836478,0.6803292079207921,0.5075359848484848,0.42201298329901626,0.8231825396825396,0.7984207205756013,0.6579580102074634,0.5509968793342579,qwen_min
policy,GPT-5-mini,low,0.89,0.7925,0.9541666666666667,0.81,1200,1200,1200,1200,0.021461590232302336,0.03520258601114633,0.017340832156917563,0.02483985400698988,0.8479599041634933,0.7217871376811594,0.9101217948717949,0.76046875,0.9327074855099272,0.8602936921296296,0.9781359305024354,0.8570940338923829,mini_low
policy,GPT-5-mini,minimal,0.8866666666666667,0.8,0.8983333333333333,0.7725,1200,1200,1200,1200,0.02429419565164901,0.03601239510209084,0.024282661979233282,0.031694091016225306,0.8359234052835052,0.7312037037037037,0.8403999099639856,0.7042063492063493,0.930357893017177,0.8676192810457516,0.9378273809523809,0.8289007092198581,mini_min
policy,GPT-5-nano,low,0.8583333333333333,0.7425,0.8608333333333333,0.6366666666666667,1200,1200,1200,1200,0.02170801357262982,0.02940837763785324,0.027161406021204263,0.03661410402737656,0.8108388768564357,0.6851384437321938,0.8042063492063493,0.5650376984126984,0.8966009547383309,0.7993657937806873,0.9150467218137255,0.7022263071895424,nano_low
